year,subject_mkt_value,subject_prior_mkt_value,subject_mkt_value_yoy,legal_descr_mkt_value,legal_descr_prior_mkt_value,legal_desc_mkt_value_yoy,nbhd_cd_mkt_value,nbhd_cd_prior_mkt_value,nbhd_cd_mkt_value_yoy,nbhd_grp_mkt_value,nbhd_prior_grp_mkt_value,nbhd_grp_mkt_value_yoy,map_facet_mkt_value,map_facet_prior_mkt_value,map_facet_mkt_value_yoy,hcad_a1_mkt_value,hcad_a1_mkt_prior_value,hcad_a1_mkt_value_yoy
2005,195500.0,195500.0,0.0,298292.0,288850.0,0.03268824649472046,258800.0,259550.0,-0.0028896166441918503,292900.0,287150.0,,156000.0,157050.0,-0.006685768863419317,111480.0,105600.0,0.055681818181818166
2006,217000.0,195500.0,0.10997442455242967,300000.0,298264.0,0.005820347075074395,279805.0,258800.0,0.08116306027820719,303694.5,292900.0,,163764.5,154800.0,0.057910206718346346,115372.0,109578.0,0.05287557721440428
2007,220000.0,217000.0,0.01382488479262678,315961.0,300000.0,0.05320333333333327,284075.0,279805.0,0.015260627937313531,315000.0,303694.5,,169623.0,162360.0,0.04473392461197334,121530.5,113678.0,0.06907669030067387
2008,230157.0,220000.0,0.04616818181818183,338900.0,316000.0,0.07246835443037969,299273.0,284048.0,0.05360009575846325,337043.5,315000.0,,175386.0,167439.0,0.04746206081020543,124785.0,120934.0,0.031843815634974515
2009,224000.0,230157.0,-0.02675130454428931,351000.0,338821.5,0.03594370487114906,301922.0,299136.5,0.009311802471446917,348104.5,336970.5,,176032.5,175253.5,0.004444989686368528,118909.5,123928.0,-0.04049528758634047
2010,207172.0,224000.0,-0.075125,337468.5,351000.0,-0.038551282051282,292493.0,301922.0,-0.031229920310543835,333923.5,348104.5,-0.04511438375750643,173217.0,176032.5,-0.015994205615440293,116121.0,118223.0,-0.017779958214560576
2011,207172.0,207172.0,0.0,337026.5,337400.0,-0.001106994665085903,292196.0,292493.0,-0.0010154089157689006,333478.5,333536.5,-0.0045417910447761445,162291.0,173133.0,-0.0626223770165133,114403.0,115537.0,-0.00981503760700031
2012,207172.0,207172.0,0.0,338219.0,336910.0,0.003885310617078641,291553.0,292292.0,-0.0025282936241840526,333567.0,333470.0,-0.004273153461881174,160131.0,162291.0,-0.013309425661312102,110961.0,113822.0,-0.025135738257981766
2013,245000.0,207172.0,0.18259224219489112,366928.0,338000.0,0.08558579881656803,319223.0,291474.5,0.09520043777414489,365962.0,335000.0,0.092423880597015,161469.0,160154.0,0.008210847059705095,112948.0,110028.0,0.026538699240193475
2014,292216.0,245000.0,0.1927183673469388,444268.0,366894.0,0.21088924866582714,389821.5,319223.0,0.22115731009357087,442343.0,365852.0,0.20907634781277684,203809.0,161469.0,0.2622175154363995,128068.0,111999.0,0.14347449530799383
2015,324000.0,292216.0,0.10876885591480279,545000.0,443988.5,0.22750927107346253,479838.0,389521.5,0.23186525005680036,545000.0,441909.0,0.2332855859464278,250833.0,203478.0,0.23272786247161847,146471.0,127135.0,0.15209029771502736
2016,356000.0,324000.0,0.09876543209876543,545000.0,544824.5,0.00032212207784332314,483575.0,479676.0,0.008128403338920398,542616.0,545000.0,-0.004374311926605534,252191.0,251071.5,0.004458889200884997,156524.0,145477.0,0.07593640231789212
2017,338358.0,356000.0,-0.04955617977528093,535030.5,544865.5,-0.018050326181415444,474000.0,483575.0,-0.019800444605283518,532009.0,542500.0,-0.01933824884792623,250047.0,252191.0,-0.008501492916083486,166470.0,155455.0,0.07085651796339776
2018,338358.0,338358.0,0.0,506238.0,534000.0,-0.05198876404494379,466000.0,474000.0,-0.016877637130801704,507224.0,531256.0,-0.04523619497944498,250047.0,250047.0,0.0,167582.0,165350.0,0.01349863925007555
2019,397000.0,338358.0,0.17331347271233422,545437.0,506341.0,0.07721278742981519,497819.0,466118.0,0.06801067540837291,541674.0,507685.5,0.06694794316560149,252539.5,250047.0,0.009968125992313448,183780.5,166407.0,0.10440366090368802
2020,402023.0,397000.0,0.012652392947103186,547455.0,545365.0,0.0038322958018941478,499841.0,497795.0,0.004110125654134711,544315.0,540827.0,0.006449382149929628,254226.0,252539.5,0.0066781632180312744,193143.5,182639.0,0.057515098089674144
2021,414458.0,402023.0,0.030931066133032203,561243.0,547156.5,0.025744919415194634,504557.5,499874.5,0.009368351456215507,555193.0,544118.0,0.020354040851432886,264548.0,254226.0,0.04060166938078713,208467.0,191875.0,0.0864729641693811
2022,652735.0,414458.0,0.5749122950938335,631614.0,560546.5,0.12678252384057354,583162.5,504537.0,0.15583693564594858,630000.0,555000.0,0.1351351351351351,297826.0,264096.0,0.12771870834847943,254420.0,207019.0,0.22896932165646633
2023,715818.0,652735.0,0.0966441205083226,670724.0,630810.5,0.06327336022466334,610107.0,582936.0,0.046610605623945034,667467.0,629132.0,0.060933158701194756,330567.0,297826.0,0.10993331676885165,292178.0,252635.0,0.1565222554277912
