account,protested,year,Neighborhood_Code,neighborhood,neighborhood_group,map_facet,street_address,zipcode,market_value,prior_market_value,change_in_market_value,pct_change_in_market_value
931910000001,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10003 LOCKE LN,77042,502576.0,507594.0,-9950.0,-0.01960228056281199
931910000002,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10007 LOCKE LN,77042,440031.0,495500.0,-55469.0,-0.11194550958627647
931910000003,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10011 LOCKE LN,77042,428195.0,501612.0,-73417.0,-0.14636212849772334
931910000004,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10015 LOCKE LN,77042,445102.0,526300.0,-81198.0,-0.1542808284248528
931910000005,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10019 LOCKE LN,77042,420469.0,459000.0,-18061.0,-0.03934858387799567
931910000006,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10023 LOCKE LN,77042,567014.0,499000.0,68014.0,0.13630060120240484
931910000007,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10027 LOCKE LN,77042,515310.0,565516.0,-50206.0,-0.08877909731996969
931910000008,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10031 LOCKE LN,77042,429644.0,450000.0,-12904.0,-0.028675555555555565
931910000009,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10035 LOCKE LN,77042,380000.0,522481.0,-142481.0,-0.2727008254845631
931910000010,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10039 LOCKE LN,77042,695240.0,734635.0,-39395.0,-0.05362526969175163
931910000011,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10043 LOCKE LN,77042,553837.0,598000.0,-44163.0,-0.07385117056856183
931910000012,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10047 LOCKE LN,77042,470857.0,515444.0,-27040.0,-0.052459627039988854
931910000013,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10051 LOCKE LN,77042,633076.0,627000.0,813.0,0.0012966507177032405
931910000014,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2618 BRIARBROOK DR,77042,536118.0,659438.0,-123320.0,-0.18700772475956795
931910000015,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2614 BRIARBROOK DR,77042,581698.0,591330.0,-9632.0,-0.016288705122351255
931910000016,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2610 BRIARBROOK DR,77042,526995.0,520000.0,6995.0,0.013451923076923
931910000017,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2606 BRIARBROOK DR,77042,438954.0,446914.0,-7960.0,-0.0178110329951624
931910000018,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2602 BRIARBROOK DR,77042,526898.0,514000.0,21154.0,0.04115564202334632
931910000019,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,2514 BRIARBROOK DR,77042,698526.0,583389.0,109741.0,0.18810947755271346
931910000020,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2510 BRIARBROOK DR,77042,619075.0,607182.0,27025.0,0.04450889519122758
931910000021,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2506 BRIARBROOK DR,77042,518520.0,530841.0,9469.0,0.017837732955819252
931910000022,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2502 BRIARBROOK DR,77042,711601.0,667384.0,40329.0,0.06042847895664272
931910000023,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2414 BRIARBROOK DR,77042,608520.0,618204.0,-9684.0,-0.015664732030203576
931910000024,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2410 BRIARBROOK DR,77042,712973.0,662324.0,57889.0,0.08740284211352756
931910000025,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2406 BRIARBROOK DR,77042,462895.0,543639.0,-80744.0,-0.14852503223646574
931910000026,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2402 BRIARBROOK DR,77042,529080.0,540449.0,-11369.0,-0.021036212482583916
931910000027,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2314 BRIARBROOK DR,77042,536016.0,533907.0,2109.0,0.003950126145564781
931910000028,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2310 BRIARBROOK DR,77042,708789.0,560000.0,148789.0,0.26569464285714295
931910000029,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2306 BRIARBROOK DR,77042,552758.0,566491.0,-13733.0,-0.024242220970853934
931910000032,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2206 BRIARBROOK DR,77042,610107.0,570000.0,40107.0,0.0703631578947368
931910000033,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2204 BRIARBROOK DR,77042,1230676.0,1098900.0,131776.0,0.11991627991627984
931910000034,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956B,2302 BRIARBROOK DR,77042,1157340.0,990083.0,155877.0,0.15743831577756606
931920000039,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10002 LOCKE LN,77042,703341.0,652947.0,44432.0,0.0680484020908283
931920000040,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10006 LOCKE LN,77042,749790.0,628294.0,116564.0,0.18552461108971285
931920000041,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10010 LOCKE LN,77042,715281.0,701459.0,13822.0,0.019704644177350294
931920000042,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10014 LOCKE LN,77042,690200.0,651286.0,32818.0,0.05038953700831894
931920000043,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10018 LOCKE LN,77042,464839.0,472704.0,10545.0,0.022307829000812296
931920000044,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10022 LOCKE LN,77042,526257.0,530000.0,-3743.0,-0.007062264150943354
931920000045,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10026 LOCKE LN,77042,603223.0,554337.0,43818.0,0.0790457790116843
931920000046,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10030 LOCKE LN,77042,475000.0,502932.0,-27932.0,-0.0555383232723311
931920000047,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10034 LOCKE LN,77042,507419.0,502000.0,5419.0,0.010794820717131559
931920000048,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10038 LOCKE LN,77042,531674.0,545425.0,-28641.0,-0.052511344364486456
931920000049,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10042 LOCKE LN,77042,500802.0,501071.0,-8564.0,-0.01709139024210138
931920000050,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10046 LOCKE LN,77042,530709.0,465000.0,54471.0,0.11714193548387097
931920000051,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10050 LOCKE LN,77042,600000.0,630831.0,-30831.0,-0.048873628594663265
931920000052,N,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10051 WICKERSHAM LN,77042,531279.0,543353.0,-12074.0,-0.022221281560974138
931920000053,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10047 WICKERSHAM LN,77042,659303.0,620000.0,39303.0,0.06339193548387101
931920000054,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10043 WICKERSHAM LN,77042,510000.0,585832.0,-75832.0,-0.1294432533559109
931920000055,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10039 WICKERSHAM LN,77042,589964.0,583797.0,1256.0,0.002151432775433948
931920000056,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10035 WICKERSHAM LN,77042,654420.0,542069.0,107440.0,0.19820354973259868
931920000057,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10031 WICKERSHAM LN,77042,519941.0,515000.0,30.0,5.825242718437984e-05
931920000058,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10027 WICKERSHAM LN,77042,715818.0,652735.0,40846.0,0.0625766965154313
931920000059,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10023 WICKERSHAM LN,77042,480327.0,487655.0,-12105.0,-0.024822876828905716
931920000060,Y,2023,7947.0,BRIARGROVE PARK SEC 1,1117,4956D,10019 WICKERSHAM LN,77042,490622.0,489000.0,-1445.0,-0.0029550102249489285
